,x,y,dis0,dis1,dis2,dis3,dis4,dis5,dis6,dis_min
0,-117.20160000000033,32.60925000000001,1713.8660262521332,1635.838546667425,1693.2349023624874,1771.1351761872181,1684.7482350827663,1757.9313739473046,1783.2295072276486,1635.838546667425
1,-117.07975000000033,32.60925000000001,1717.2440375102456,1637.1416107781931,1693.924406567626,1772.4188731280933,1683.7362600599772,1755.2405141637828,1779.6041702626928,1637.1416107781931
2,-116.95790000000034,32.60925000000001,1720.7196766902398,1638.5532268733937,1694.719400191595,1773.8024801331983,1682.8302298743067,1752.6477068042025,1776.0722837360802,1638.5532268733937
3,-116.83605000000034,32.60925000000001,1724.292353142096,1640.0731145477428,1695.6197347896125,1775.2857634722243,1682.0303158049448,1750.1533878863922,1772.634406547603,1640.0731145477428
4,-116.71420000000035,32.60925000000001,1727.9614646774523,1641.7009729668,1696.62524258307,1776.868473385119,1681.3366693773226,1747.757979307271,1769.2910870059695,1641.7009729668
5,-116.59235000000035,32.60925000000001,1731.7263980249895,1643.4364811593296,1697.7357366148092,1778.550344288714,1680.7494222203804,1745.4618885034006,1766.042862433012,1643.4364811593296
6,-116.47050000000036,32.60925000000001,1735.586529287231,1645.2792983272273,1698.951010921496,1780.3310949951724,1680.26868594221,1743.2655081200062,1762.8902587704943,1645.2792983272273
7,-116.34865000000036,32.60925000000001,1739.5412243980645,1647.2290641723002,1700.270840722725,1782.2104289418287,1679.8945520243396,1741.1692156890608,1759.8337901901286,1647.2290641723002
8,-116.22680000000037,32.60925000000001,1743.5898395803185,1649.2853992392272,1701.6949826264572,1784.1880344320139,1679.6270917349013,1739.1733733170124,1756.8739587073883,1649.2853992392272
9,-117.32345000000032,32.73110000000001,2061.5973941122083,1990.6722114291972,2048.7788653685247,2125.981795541516,2039.1070574831263,2106.4536609456354,2126.382788468123,1990.6722114291972
10,-117.20160000000033,32.73110000000001,2063.009596140044,1990.3196930348195,2047.9208980265191,2125.625724902497,2036.8445802582394,2102.798043033507,2121.949723249415,1990.3196930348195
11,-117.07975000000033,32.73110000000001,2064.5066611953894,1990.0563427713225,2047.1491491155482,2125.3527443240596,2034.6668021038852,2099.220540296639,2117.5911812950067,1990.0563427713225
12,-116.95790000000034,32.73110000000001,2066.0884046160113,1989.8821960729063,2046.4637162753036,2125.162885862584,2032.5739955351587,2095.7215532192645,2113.3076242329585,1989.8821960729063
13,-116.83605000000034,32.73110000000001,2067.7546318754767,1989.7972763815899,2045.8646863484848,2125.056171823047,2030.5664235355068,2092.301476144825,2109.0995094661293,1989.7972763815899
14,-116.71420000000035,32.73110000000001,2069.5051387003423,1989.8015951314517,2045.3521353260446,2125.0326147459386,2028.6443393972504,2088.9606970759673,2104.9672899657635,1989.8015951314517
15,-116.59235000000035,32.73110000000001,2071.3397111925665,1989.8951517409444,2044.9261282991727,2125.092217399907,2026.8079865669197,2085.699597475408,2100.911414063972,1989.8951517409444
16,-116.47050000000036,32.73110000000001,2073.2581259569774,1990.0779336132816,2044.586719418098,2125.23497278013,2025.0575984956204,2082.5185520678847,2096.932325245284,1990.0779336132816
17,-116.34865000000036,32.73110000000001,2075.2601502336147,1990.3499161449122,2044.3339518577582,2125.4608641124287,2023.393398494638,2079.417928643409,2093.030461937464,1990.3499161449122
18,-116.22680000000037,32.73110000000001,2077.345542034775,1990.711062742054,2044.1678577903947,2125.7698648631067,2021.8155995964778,2076.3980878620305,2089.2062573017615,1990.711062742054
19,-116.10495000000037,32.73110000000001,2079.514050286575,1991.1613248452757,2044.0884583651136,2126.1619387545056,2020.3244044215496,2073.459383060338,2085.4601390228095,1991.1613248452757
20,-115.98310000000038,32.73110000000001,2081.7654149748523,1991.700641962071,2044.0957636944377,2126.6370397862606,2018.920005050672,2070.6021600599156,2081.792529098347,1991.700641962071
21,-115.86125000000038,32.73110000000001,2084.0993672951977,1992.3289417073947,2044.189772847875,2127.195112262216,2017.602582903592,2067.826756977969,2078.203843628988,1992.3289417073947
22,-115.73940000000039,32.73110000000001,2086.5156298069437,1993.0461398520765,2044.3704738525114,2127.8360908229706,2016.3723086236892,2065.1335040403596,2074.6944926082347,1993.0461398520765
23,-115.61755000000039,32.73110000000001,2089.0139165908954,1993.8521403790537,2044.637843700623,2128.559900484014,2015.2293419690386,2062.5227233972537,2071.264879712952,1993.8521403790537
24,-115.4957000000004,32.73110000000001,2091.593933410622,1994.7468355473256,2044.9918483643073,2129.3664566793923,2014.173831709981,2059.9947289416205,2067.9154020945152,1994.7468355473256
